UNIX time,value,sumcheck
1609860506,1,62
1609860776,-1,61
1609861180,-1,60
1609861522,1,61
1609861833,-1,60
1609862387,-1,59
1609862458,-1,58
1609862616,1,59
1609862694,-1,58
1609862698,-1,57
1609862756,-1,56
1609863039,-1,55
1609863043,1,56
1609863071,-1,55
1609863132,-1,54
1609863165,-1,53
1609863256,-1,52
1609863293,-1,51
1609863369,-1,50
1609863372,-1,49
1609863392,-1,48
1609863449,1,49
1609863454,1,50
1609863456,-1,49
1609863459,1,50
1609863619,-1,49
1609863739,-1,48
1609864219,-1,47
1609864410,-1,46
1609864616,-1,45
1609864634,-1,44
1609864889,-1,43
1609865067,1,44
1609865071,1,45
1609865095,-1,44
1609865106,-1,43
1609865293,-1,42
1609865394,-1,41
1609865406,-1,40
1609865408,-1,39
1609865641,1,40
1609865688,-1,39
1609865812,-1,38
1609865817,-1,37
1609865859,-1,36
1609865867,-1,35
1609865873,-1,34
1609866706,1,35
1609866791,-1,34
1609866795,-1,33
1609866796,-1,32
1609866823,-1,31
1609866928,-1,30
1609866972,-1,29
1609867481,-1,28
1609867687,-1,27
1609868111,-1,26
1609868776,-1,25
1609869182,-1,24
1609869239,-1,23
1609869751,-1,22
1609870257,-1,21
1609870452,-1,20
1609870551,-1,19
1609870740,-1,18
1609870763,-1,17
1609870764,-1,16
1609871092,-1,15
1609871252,-1,14
1609872127,-1,13
1609872277,1,14
1609872364,-1,13
1609872469,-1,12
1609872535,-1,11
1609872596,1,12
1609872651,-1,11
1609873023,-1,10
1609873060,-1,9
1609875463,1,10
1609875686,-1,9
1609875691,-1,8
1609876120,-1,7
1609876413,-1,6
1609876427,-1,5
1609877428,1,6
1609877774,-1,5
1609879449,1,6
1609879450,1,7
1609879451,1,8
1609879453,1,9
1609879455,1,10
1609879458,1,11
1609879463,1,12
1609879755,-1,11
1609879756,-1,10
1609879760,-1,9
1609879761,-1,8
1609879763,-1,7
1609879770,-1,6
1609879774,-1,5
1609884681,-1,4
1609885050,-1,3
1609886579,1,4
1609886588,1,5
1609886984,-1,4
1609886987,-1,3
1609891156,1,4
1609891163,1,5
1609891166,1,6
1609891181,1,7
1609891182,1,8
1609891183,1,9
1609891186,1,10
1609891590,-1,9
1609900292,1,10
1609900969,-1,9
1609902962,1,10
1609904754,1,11
1609906270,-1,10
1609906271,-1,9
1609906272,-1,8
1609906274,-1,7
1609906275,-1,6
1609906275,-1,5
1609907259,1,6
1609907897,1,7
1609907999,1,8
1609908193,1,9
1609909825,1,10
1609910230,-1,9
1609910794,1,10
1609910855,1,11
1609911019,1,12
1609911048,1,13
1609911178,1,14
1609911986,1,15
1609912225,1,16
1609912678,1,17
1609912806,1,18
1609912820,1,19
1609912947,1,20
1609913228,1,21
1609913236,1,22
1609913447,1,23
1609913730,-1,22
1609913791,1,23
1609914160,1,24
1609914447,1,25
1609914486,1,26
1609914683,1,27
1609914686,1,28
1609914717,1,29
1609914735,1,30
1609914768,1,31
1609914799,1,32
1609914851,1,33
1609915104,1,34
1609915564,1,35
1609915615,1,36
1609915736,1,37
1609915824,1,38
1609915896,1,39
1609916128,1,40
1609916368,1,41
1609916826,1,42
1609916941,1,43
1609916958,1,44
1609917228,1,45
1609917523,1,46
1609917650,1,47
1609917704,1,48
1609917776,1,49
1609917965,1,50
1609918100,1,51
1609918244,-1,50
1609918336,1,51
1609918350,1,52
1609918358,1,53
1609918513,1,54
1609918568,1,55
1609919009,1,56
1609919022,-1,55
1609919026,-1,54
1609919340,-1,53
1609919414,1,54
1609919437,1,55
1609919586,1,56
1609920314,-1,55
1609920340,-1,54
1609920346,-1,53
1609920566,1,54
1609920663,1,55
1609921864,1,56
1609922614,-1,55
1609922615,1,56
1609922792,1,57
1609922998,1,58
1609923090,1,59
1609923170,-1,58
1609923344,1,59
1609924493,-1,58
1609924563,-1,57
1609925815,1,58
1609925858,1,59
1609925937,-1,58
1609925949,1,59
1609925993,1,60
1609926054,1,61
1609926165,1,62
1609926356,1,63
1609926680,1,64
1609927515,1,65
1609928644,-1,64
1609928831,-1,63
1609929019,1,64
1609929611,-1,63
1609929873,-1,62
1609929926,-1,61
1609930037,1,62
1609930198,1,63
1609930247,1,64
1609930385,1,65
1609930419,1,66
1609930449,-1,65
1609930671,1,66
1609930690,-1,65
1609930742,-1,64
1609930756,1,65
1609931129,-1,64
1609931648,-1,63
1609932087,-1,62
1609932220,1,63
1609932260,-1,62
1609932675,1,63
1609933298,1,64
1609933367,-1,63
1609933378,1,64
1609933424,-1,63
1609933436,1,64
1609933779,-1,63
1609933811,-1,62
1609933814,-1,61
1609933868,1,62
1609934028,1,63
1609935140,-1,62
1609935260,1,63
1609935367,-1,62
1609935683,-1,61
1609935795,1,62
1609935895,-1,61
1609936031,-1,60
1609937138,1,61
1609937272,1,62
1609937314,-1,61
1609937315,-1,60
1609937718,-1,59
1609938157,1,60
1609938236,1,61
1609938835,1,62
1609940494,1,63
1609940500,-1,62
1609940591,1,63
1609940785,-1,62
1609943020,1,63
1609943036,1,64
1609943093,-1,63
1609943142,1,64
1609943380,-1,63
1609943498,-1,62
1609943511,-1,61
1609943736,-1,60
1609943949,1,61
1609944373,-1,60
1609944442,-1,59
1609944596,-1,58
1609944613,1,59
1609944628,-1,58
1609944629,1,59
1609945092,-1,58
1609945167,-1,57
1609945230,1,58
1609945285,1,59
1609945438,1,60
1609946104,-1,59
1609946206,-1,58
1609946249,1,59
1609946265,-1,58
1609946273,-1,57
1609946435,-1,56
1609946480,-1,55
1609946711,-1,54
1609946848,-1,53
1609947018,-1,52
1609947286,-1,51
1609947612,1,52
1609947716,-1,51
1609947882,-1,50
1609947901,1,51
1609947918,1,52
1609948043,-1,51
1609948170,-1,50
1609948205,-1,49
1609948619,-1,48
1609948663,-1,47
1609948925,1,48
1609949088,-1,47
1609949527,-1,46
1609949637,-1,45
1609949648,-1,44
1609949832,-1,43
1609949875,-1,42
1609950038,-1,41
1609950365,-1,40
1609950406,-1,39
1609950436,-1,38
1609950440,1,39
1609950952,-1,38
1609951033,1,39
1609951233,-1,38
1609951263,-1,37
1609951316,-1,36
1609951423,-1,35
1609951443,1,36
1609951459,-1,35
1609951704,-1,34
1609951731,-1,33
1609951755,-1,32
1609951933,1,33
1609952054,-1,32
1609952093,-1,31
1609952134,1,32
1609952317,-1,31
1609952436,-1,30
1609952563,-1,29
1609952812,-1,28
1609952947,-1,27
1609953910,-1,26
1609954092,1,27
1609954741,-1,26
1609955025,-1,25
1609955108,1,26
1609955113,-1,25
1609955221,-1,24
1609955257,-1,23
1609955563,-1,22
1609955866,-1,21
1609955867,-1,20
1609956337,-1,19
1609956614,-1,18
1609956776,-1,17
1609956976,-1,16
1609957653,-1,15
1609957663,-1,14
1609957832,-1,13
1609958836,-1,12
1609959380,-1,11
1609959430,-1,10
1609960335,-1,9
1609960603,-1,8
1609960629,-1,7
1609961238,-1,6
1609962258,1,7
1609962259,1,8
1609962567,-1,7
1609962569,-1,6
1609963187,-1,5
1609977610,1,6
1609977611,1,7
1609977613,1,8
1609977614,1,9
1609977615,1,10
1609977617,1,11
1609977618,1,12
1609977780,-1,11
1609991187,1,12
1609992688,-1,11
1609992688,-1,10
1609992689,-1,9
1609992691,-1,8
1609992693,-1,7
1609992700,-1,6
1609993720,1,7
1609994179,1,8
1609994725,1,9
1609994851,1,10
1609995020,1,11
1609995350,1,12
1609995594,1,13
1609995660,1,14
1609996357,1,15
1609996616,-1,14
1609996691,1,15
1609997271,1,16
1609997276,1,17
1609997365,1,18
1609997504,1,19
1609997537,1,20
1609998176,1,21
1609998260,1,22
1609998263,1,23
1609998264,1,24
1609998266,1,25
1609998555,1,26
1609998556,-1,25
1609998558,-1,24
1609998577,-1,23
1609998669,1,24
1609998671,1,25
1609998735,1,26
1609998824,1,27
1609998999,1,28
1609999170,1,29
1609999334,1,30
1609999484,1,31
1609999786,1,32
1609999790,1,33
1609999812,1,34
1609999945,1,35
1610000113,1,36
1610000786,1,37
1610000980,1,38
