start,end
1606387800.0,1606409400.0
1606377600.0,1606410000.0
1606373100.0,1606409100.0
1586527200.0,1586541600.0
1606297200.0,1606311600.0
1586419200.0,1586426400.0
1586156100.0,1586181300.0
1613973600.0,1614056400.0
1613900100.0,1613928900.0
1585898700.0,1585934700.0
1613814300.0,1613832300.0
1585812900.0,1585848900.0
1585751700.0,1585758900.0
1585722300.0,1585761900.0
1613649000.0,1613656200.0
1585324800.0,1585328400.0
1613550600.0,1613575800.0
1585206600.0,1585224600.0
1585114500.0,1585200900.0
1612938600.0,1612978200.0
1612936800.0,1612980000.0
1613463600.0,1613488800.0
1612900200.0,1612911000.0
1613408100.0,1613426100.0
1613386200.0,1613389800.0
1613382600.0,1613386200.0
1612853100.0,1612881900.0
1613371800.0,1613397000.0
1612852200.0,1612895400.0
1613290200.0,1613322600.0
1612778700.0,1612811100.0
1613228100.0,1613238900.0
1612772100.0,1612800900.0
1613208600.0,1613237400.0
1584513900.0,1584539100.0
1612719300.0,1612730100.0
1612700700.0,1612715100.0
1612621200.0,1612632000.0
1613111100.0,1613197500.0
1613111400.0,1613154600.0
1584424800.0,1584442800.0
1584424800.0,1584450000.0
1612545000.0,1612555800.0
1612536600.0,1612540200.0
1612525200.0,1612543200.0
1612512900.0,1612599300.0
1612511700.0,1612522500.0
1613026800.0,1613037600.0
1613025000.0,1613032200.0
1612507800.0,1612543800.0
1612959900.0,1612967100.0
1612432800.0,1612465200.0
1584338400.0,1584367200.0
1612426200.0,1612440600.0
1612421400.0,1612457400.0
1600929900.0,1600973100.0
1600928700.0,1601015100.0
1592811300.0,1592836500.0
1600853400.0,1600864200.0
1600851900.0,1600880700.0
1612264200.0,1612293000.0
1592809200.0,1592830800.0
1592776800.0,1592780400.0
1612254000.0,1612279200.0
1592755200.0,1592773200.0
1612167000.0,1612181400.0
1600779900.0,1600794300.0
1600775400.0,1600779000.0
1592645400.0,1592659800.0
1612092300.0,1612103100.0
1600761900.0,1600790700.0
1600761600.0,1600768800.0
1611915000.0,1611933000.0
1611913200.0,1611916800.0
1613976600.0,1613998200.0
1613819400.0,1613826600.0
1591962300.0,1591980300.0
1592494200.0,1592501400.0
1613734800.0,1613752800.0
1613722200.0,1613736600.0
1613720700.0,1613807100.0
1600522800.0,1600533600.0
1591945200.0,1591981200.0
1613634900.0,1613667300.0
1613562000.0,1613580000.0
1592460300.0,1592517900.0
1591861500.0,1591897500.0
1592394000.0,1592419200.0
1613463000.0,1613499000.0
1592379300.0,1592400900.0
1613374500.0,1613396100.0
1595835900.0,1595922300.0
1613147400.0,1613158200.0
1595690700.0,1595777100.0
1591773900.0,1591860300.0
1613050200.0,1613061000.0
1595592000.0,1595613600.0
1595573700.0,1595660100.0
1613034000.0,1613059200.0
1612964400.0,1612968000.0
1595509200.0,1595527200.0
1595518200.0,1595532600.0
1595487600.0,1595530800.0
1595412900.0,1595427300.0
1612939200.0,1612964400.0
1591687800.0,1591720200.0
1591683900.0,1591723500.0
1612864800.0,1612875600.0
1612858200.0,1612894200.0
1595344800.0,1595352000.0
1589803500.0,1589825100.0
1595318400.0,1595350800.0
1595317200.0,1595342400.0
1612800900.0,1612804500.0
1595313900.0,1595349900.0
1595310600.0,1595537400.0
1612771800.0,1612786200.0
1589785200.0,1589806800.0
1595253600.0,1595264400.0
1589547900.0,1589562300.0
1595229000.0,1595358600.0
1612513800.0,1612539000.0
1589441400.0,1589477400.0
1612443900.0,1612454700.0
1612442700.0,1612475100.0
1589274000.0,1589284800.0
1589269500.0,1589305500.0
1612294800.0,1612305600.0
1612259700.0,1612263300.0
1612258500.0,1612269300.0
1612254000.0,1612268400.0
1612253700.0,1612340100.0
1591947900.0,1591969500.0
1591944000.0,1591969200.0
1589177700.0,1589566500.0
1612168500.0,1612208100.0
1589173200.0,1589234400.0
1612161000.0,1612207800.0
1591880100.0,1591901700.0
1611925500.0,1611943500.0
1588840200.0,1588854600.0
1611907800.0,1611922200.0
1588836600.0,1588923000.0
1611906000.0,1611924000.0
1611907800.0,1611936600.0
1588746600.0,1588786200.0
1591851600.0,1591920000.0
1588663800.0,1588699800.0
1588662900.0,1588698900.0
1588658400.0,1588705200.0
